time,date,message,package_id
08:28:55.6,2023-02-07,PackageLost,282780411
09:00:06.3,2023-02-07,PackageAppeared,931929885
09:00:12.6,2023-02-07,BarcodeRead,931929885
09:00:24.0,2023-02-07,Destination Found,931929885
09:00:31.0,2023-02-07,PackageDelivered,931929885
09:04:07.8,2023-02-07,PackageAppeared,635796432
09:04:15.0,2023-02-07,BarcodeRead,635796432
09:04:17.8,2023-02-07,PackageAppeared,322393716
09:04:24.1,2023-02-07,BarcodeRead,322393716
09:04:26.6,2023-02-07,Destination Found,635796432
09:04:33.6,2023-02-07,PackageDelivered,635796432
09:04:47.6,2023-02-07,Destination Found,322393716
09:04:54.0,2023-02-07,PackageDelivered,322393716
09:05:51.7,2023-02-07,PackageAppeared,1568028270
09:06:10.5,2023-02-07,BarcodeRead,1568028270
09:06:37.3,2023-02-07,PackageAppeared,1756056792
09:06:41.0,2023-02-07,Destination Found,1568028270
09:06:46.7,2023-02-07,BarcodeRead,1756056792
09:06:47.8,2023-02-07,PackageDelivered,1568028270
09:07:11.5,2023-02-07,PackageAppeared,2046095211
09:07:14.4,2023-02-07,Destination Found,1756056792
09:07:19.7,2023-02-07,BarcodeRead,2046095211
09:07:21.4,2023-02-07,PackageDelivered,1756056792
09:07:47.4,2023-02-07,Destination Found,2046095211
09:07:54.8,2023-02-07,PackageDelivered,2046095211
09:09:24.1,2023-02-07,PackageAppeared,94242495
09:09:35.1,2023-02-07,BarcodeRead,94242495
09:09:48.6,2023-02-07,PackageAppeared,24621813
09:09:50.6,2023-02-07,PackageLost,24621813
09:09:53.6,2023-02-07,PackageAppeared,322871808
09:10:00.2,2023-02-07,Destination Found,94242495
09:10:05.8,2023-02-07,BarcodeRead,322871808
09:10:06.7,2023-02-07,PackageDelivered,94242495
09:10:50.7,2023-02-07,PackageAppeared,516211206
09:11:07.2,2023-02-07,PackageStopped,322871808
09:11:18.4,2023-02-07,Destination Searching,322871808
09:11:26.1,2023-02-07,PackageDumped,322871808
09:11:57.5,2023-02-07,BarcodeRead,516211206
09:12:22.0,2023-02-07,Destination Found,516211206
09:12:28.7,2023-02-07,PackageDelivered,516211206
09:14:29.0,2023-02-07,PackageAppeared,788224377
09:15:28.2,2023-02-07,BarcodeRead,788224377
09:15:59.9,2023-02-07,PackageStopped,788224377
09:16:01.6,2023-02-07,Destination Found,788224377
09:16:02.8,2023-02-07,PackageDelivered,788224377
09:16:38.1,2023-02-07,PackageAppeared,102666426
09:16:43.1,2023-02-07,BarcodeRead,102666426
09:17:12.2,2023-02-07,Destination Found,102666426
09:17:14.1,2023-02-07,PackageDelivered,102666426
09:17:46.9,2023-02-07,PackageAppeared,942240975
09:17:53.1,2023-02-07,BarcodeRead,942240975
09:18:23.1,2023-02-07,PackageStopped,942240975
09:18:24.4,2023-02-07,Destination Found,942240975
09:18:25.6,2023-02-07,PackageDelivered,942240975
09:20:40.5,2023-02-07,PackageAppeared,2089003279
09:20:48.3,2023-02-07,BarcodeRead,2089003279
09:21:00.7,2023-02-07,PackageAppeared,1809483709
09:21:05.6,2023-02-07,Destination Found,2089003279
09:21:06.8,2023-02-07,PackageDelivered,2089003279
09:21:07.1,2023-02-07,BarcodeRead,1809483709
09:21:11.3,2023-02-07,PackageAppeared,1488118122
09:21:17.6,2023-02-07,BarcodeRead,1488118122
09:21:24.4,2023-02-07,Destination Found,1809483709
09:21:27.5,2023-02-07,PackageDelivered,1809483709
09:21:46.0,2023-02-07,PackageStopped,1488118122
09:21:46.0,2023-02-07,Destination Found,1488118122
09:21:47.6,2023-02-07,PackageDelivered,1488118122
09:23:30.5,2023-02-07,PackageAppeared,341222784
09:23:37.2,2023-02-07,BarcodeRead,341222784
09:24:03.7,2023-02-07,Destination Not Found,341222784
09:24:05.9,2023-02-07,PackageStopped,341222784
09:24:11.7,2023-02-07,PackageDumped,341222784
09:24:32.9,2023-02-07,PackageAppeared,104106300
09:24:38.1,2023-02-07,BarcodeRead,104106300
09:25:07.5,2023-02-07,PackageStopped,104106300
09:25:07.6,2023-02-07,Destination Not Found,104106300
09:25:14.1,2023-02-07,PackageDumped,104106300
09:25:35.3,2023-02-07,PackageAppeared,45451416
09:25:40.1,2023-02-07,BarcodeRead,45451416
09:26:05.1,2023-02-07,PackageAppeared,794869960
09:26:07.5,2023-02-07,Destination Not Found,45451416
09:26:35.4,2023-02-07,PackageDumped,794869960
09:26:36.0,2023-02-07,PackageAppeared,1689004894
09:26:36.1,2023-02-07,PackageStopped,1689004894
09:26:54.9,2023-02-07,PackageDumped,1689004894
09:27:10.9,2023-02-07,PackageAppeared,284140812
09:27:17.5,2023-02-07,BarcodeRead,284140812
09:27:48.9,2023-02-07,PackageStopped,284140812
09:27:51.7,2023-02-07,Destination Not Found,284140812
09:27:59.0,2023-02-07,PackageDumped,284140812
09:29:32.7,2023-02-07,PackageAppeared,1179303066
09:29:39.0,2023-02-07,BarcodeRead,1179303066
